route_id,service_id,trip_id,trip_short_name,direction_id,shape_id,trip_headsign
36921,312760747074,182246,234,1,245,New York
42951,312760747074,182346,307,1,256,St. Louis
54,312760747074,182361,341,0,19,Milwaukee
54,312760747074,182362,342,1,20,Chicago
54,300260747074,182363,343,0,19,Milwaukee
56,312760747074,182412,392,0,121,Chicago
56,312760747074,182413,393,1,122,Carbondale
42954,312760747074,184033,5885,0,,Fresno
42933,312760747074,184043,6005,1,,Fraser
42933,312760747074,184044,6006,1,,Fraser
42933,312760747074,184166,6205,1,,Winter Park
42933,312760747074,184167,6206,1,,Winter Park
42985,306460747074,185787,9484,0,,Baltimore
42985,306460747074,185795,9488,0,,Baltimore
42985,306460747074,185804,9493,1,,Washington
36921,312760747074,187864,281,0,279,Niagara Falls
42985,306260747074,185852,9534,0,,Perryville
42948,306260747074,185910,9633,0,,Stamford
42985,306260747074,185917,9638,1,,Old Saybrook
42985,306260747074,185930,9654,0,,Perryville
42985,306460747074,185933,9677,1,,Washington
42985,306460747074,185935,9681,1,,Washington
42985,306460747074,185936,9683,1,,Washington
42948,306260747074,185952,9700,1,,Old Saybrook
42948,306260747074,185953,9704,1,,Old Saybrook
42948,306260747074,185954,9706,1,,Old Saybrook
42948,306260747074,185955,9755,0,,New Haven
42948,306260747074,185956,9757,0,,New Haven
42948,306260747074,185957,9759,0,,New Haven
42948,306560747074,185958,9790,1,,Old Saybrook
33820,308460747074,189439,8601,1,,Maricopa
42912,312760747074,189442,8004,1,,Kingman
33820,303760747074,189445,8602,1,,Maricopa
33820,308460747074,189454,8901,0,,Phoenix
33820,303760747074,189457,8902,0,,Phoenix
23565,312760747074,189773,7103,0,,Los Alamos
23565,312760747074,189776,7104,1,,Lamy
23565,312760747074,189779,7203,1,,Lamy
23565,312760747074,189782,7204,0,,Los Alamos
42912,312760747074,191735,8003,0,,Las Vegas
42954,312760747074,185475,3768,1,,Stockton
42951,312760747074,195509,301,1,256,St. Louis
42956,306260747074,203847,364,1,171,Port Huron
42956,306560747074,203848,364,1,171,Port Huron
42956,306260747074,203853,365,0,172,Chicago
42956,306560747074,203854,365,0,172,Chicago
42954,312760747074,194956,5014,1,,Emeryville
36926,312760747074,215611,318,0,377,Chicago
36948,312760747074,215614,311,0,255,Kansas City
42985,306460747074,211069,9478,0,,Baltimore
42985,306460747074,211073,9485,1,,Washington
42985,306460747074,211074,9486,0,,Baltimore
42985,306460747074,211078,9692,0,,Martin Airport
42985,306460747074,211081,9694,0,,Martin Airport
36921,312760747074,214747,283,0,279,Niagara Falls
36921,312760747074,214756,241,0,248,Rensselaer
54,306260747074,205030,329,0,19,Milwaukee
36921,312760747074,214267,280,1,280,New York
