service_id,date,exception_type
2047-13-1745022026-UOA#UFG,20260203,2
2047-13-1745022026-UOA#UFG,20260210,2
2047-13-1745022026-UOA#UFG,20260224,2
2047-13-1745032026-UOA#UFG,20260303,2
2047-13-1745032026-UOA#UFG,20260304,2
2047-13-1745032026-UOA#UFG,20260317,2
2047-13-1745032026-UOA#UFG,20260318,2
2047-13-1745032026-UOA#UFG,20260324,2
2047-13-1745032026-UOA#UFG,20260325,2
2047-13-1745052026-UOA#UFG,20260518,2
2047-13-1745052026-UOA#UFG,20260525,2
2047-14-0005022026-UFG#UOA,20260204,2
2047-14-0005022026-UFG#UOA,20260211,2
2047-14-0005022026-UFG#UOA,20260225,2
2047-14-0005032026-UFG#UOA,20260304,2
2047-14-0005032026-UFG#UOA,20260305,2
2047-14-0005032026-UFG#UOA,20260318,2
2047-14-0005032026-UFG#UOA,20260319,2
2047-14-0005032026-UFG#UOA,20260325,2
2047-14-0005032026-UFG#UOA,20260326,2
2047-14-0005052026-UFG#UOA,20260519,2
2047-14-0005052026-UFG#UOA,20260526,2
2047-15-2030022026-UOA#UFG,20260203,2
2047-15-2030022026-UOA#UFG,20260210,2
2047-15-2030022026-UOA#UFG,20260224,2
2047-15-2030032026-UOA#UFG,20260303,2
2047-15-2030032026-UOA#UFG,20260304,2
2047-15-2030032026-UOA#UFG,20260317,2
2047-15-2030032026-UOA#UFG,20260318,2
2047-15-2030032026-UOA#UFG,20260324,2
2047-15-2030032026-UOA#UFG,20260325,2
2047-18-1710022026-UPX6#UOA,20260203,2
2047-18-1710022026-UPX6#UOA,20260210,2
2047-18-1710022026-UPX6#UOA,20260224,2
2047-18-1710032026-UPX6#UOA,20260303,2
2047-18-1710032026-UPX6#UOA,20260304,2
2047-18-1710032026-UPX6#UOA,20260317,2
2047-18-1710032026-UPX6#UOA,20260318,2
2047-18-1710032026-UPX6#UOA,20260324,2
2047-18-1710032026-UPX6#UOA,20260325,2
2047-20-0230022026-UFG#UPX6,20260204,2
2047-20-0230022026-UFG#UPX6,20260211,2
2047-20-0230022026-UFG#UPX6,20260225,2
2047-20-0230032026-UFG#UPX6,20260304,2
2047-20-0230032026-UFG#UPX6,20260305,2
2047-20-0230032026-UFG#UPX6,20260318,2
2047-20-0230032026-UFG#UPX6,20260319,2
2047-20-0230032026-UFG#UPX6,20260325,2
2047-20-0230032026-UFG#UPX6,20260326,2
2110-13-2235032026-1UJ#1UW,20260317,2
2110-13-2235032026-1UJ#1UW,20260318,2
2110-13-2235032026-1UJ#1UW,20260319,2
2110-13-2235032026-1UJ#1UW,20260324,2
2110-13-2235032026-1UJ#1UW,20260325,2
2110-13-2235032026-1UJ#1UW,20260326,2
2110-13-2235052026-1UJ#1UW,20260507,2
2110-13-2235052026-1UJ#1UW,20260514,2
2110-2-1400032026-1UW#1UJ,20260317,2
2110-2-1400032026-1UW#1UJ,20260318,2
2110-2-1400032026-1UW#1UJ,20260319,2
2110-2-1400032026-1UW#1UJ,20260324,2
2110-2-1400032026-1UW#1UJ,20260325,2
