from_stop_id,from_route_id,from_trip_id,to_stop_id,to_route_id,to_trip_id,transfer_type,min_transfer_time
3ef13f76-3f2a-4948-9f3f-0d9b66c96b16,US1200,,3ef13f76-3f2a-4948-9f3f-0d9b66c96b16,2654,,3,
71914082-fe6c-40ff-902e-c84e5c227f8d,US0420,,71914082-fe6c-40ff-902e-c84e5c227f8d,2654,,3,
6c04e813-1e6e-4ea4-8b11-b3187dfc7889,US1200,,6c04e813-1e6e-4ea4-8b11-b3187dfc7889,2654,,3,
6fd13102-9b15-4286-8568-a7fc934d5bc1,US1200,,6fd13102-9b15-4286-8568-a7fc934d5bc1,2654,,3,
30c0bf7a-44d5-472b-a3a6-ac1b48731e0b,US0420,,30c0bf7a-44d5-472b-a3a6-ac1b48731e0b,2654,,3,
6265b7a1-9e86-4265-b5ac-ca4ebec89803,US1200,,6265b7a1-9e86-4265-b5ac-ca4ebec89803,2654,,3,
9b6bfd56-3ecb-11ea-8017-02437075395e,2619,,9b6bfd56-3ecb-11ea-8017-02437075395e,US0255s,,3,
40f3b23b-c4b3-46bd-81c7-a1855b70beb9,US1200,,40f3b23b-c4b3-46bd-81c7-a1855b70beb9,2654,,3,
71914082-fe6c-40ff-902e-c84e5c227f8d,US0421,,71914082-fe6c-40ff-902e-c84e5c227f8d,2654,,3,
bb05a3f7-5a2c-44cb-8388-2ea394a21c02,US1200,,bb05a3f7-5a2c-44cb-8388-2ea394a21c02,2654,,3,
728315b8-f785-47f7-879d-f403cca11584,US1200,,728315b8-f785-47f7-879d-f403cca11584,2654,,3,
3afa3807-a885-4766-a276-d8efc7092c57,US1200,,3afa3807-a885-4766-a276-d8efc7092c57,2654,,3,
96f408ea-c731-4fb3-a9d3-721f7cf31dd1,2612,,96f408ea-c731-4fb3-a9d3-721f7cf31dd1,2614,,3,
d3470c22-f12b-4553-bff6-a4003895558a,US0420,,d3470c22-f12b-4553-bff6-a4003895558a,2654,,3,
71914082-fe6c-40ff-902e-c84e5c227f8d,US1200,,71914082-fe6c-40ff-902e-c84e5c227f8d,2654,,3,
12a2c399-a17f-44e2-8d1f-7655f95c2689,US0420,,12a2c399-a17f-44e2-8d1f-7655f95c2689,2654,,3,
9b6bfd56-3ecb-11ea-8017-02437075395e,2610,,9b6bfd56-3ecb-11ea-8017-02437075395e,US0270s,,3,
9b6c1e26-3ecb-11ea-8017-02437075395e,2612,,9b6c1e26-3ecb-11ea-8017-02437075395e,2614,,3,
12a2c399-a17f-44e2-8d1f-7655f95c2689,US0421,,12a2c399-a17f-44e2-8d1f-7655f95c2689,2654,,3,
0c8d1ecb-4f3d-4577-9473-0eb1a4331e37,US1200,,0c8d1ecb-4f3d-4577-9473-0eb1a4331e37,2654,,3,
ab615f55-9409-4216-a06f-5cf7769812c5,2221,,ab615f55-9409-4216-a06f-5cf7769812c5,US0604,,3,
55b07fb1-b6da-4069-975d-e69d4278391a,US1200,,55b07fb1-b6da-4069-975d-e69d4278391a,2654,,3,
35cb6bb2-def2-4ef1-81fc-ca180f3c57c0,US1200,,35cb6bb2-def2-4ef1-81fc-ca180f3c57c0,2654,,3,
e6729401-2805-4f3a-93d4-dabe4fb39196,US1200,,e6729401-2805-4f3a-93d4-dabe4fb39196,2654,,3,
1cded49c-028d-41ae-bafa-72e82976c01b,US1200,,1cded49c-028d-41ae-bafa-72e82976c01b,2654,,3,
9b6ac0d1-3ecb-11ea-8017-02437075395e,2612,,9b6ac0d1-3ecb-11ea-8017-02437075395e,2614,,3,
22de8394-2935-4894-a3a9-2c06c2f33201,US1200,,22de8394-2935-4894-a3a9-2c06c2f33201,2654,,3,
2949ff9e-29ad-40cc-b6a7-daf1d10f5aab,US0420,,2949ff9e-29ad-40cc-b6a7-daf1d10f5aab,2654,,3,
6b586990-fdb8-4561-843c-b66901651cbd,US0420,,6b586990-fdb8-4561-843c-b66901651cbd,2654,,3,
